COMPOUND,Molecular Weight (g/mol),Limit of Safety (µg/g),Limit of Quantitation (µg/g),Limit of Detection (µg/g),Simulated 1 (µg/g),Simulated 2 (µg/g),Molecular Formula
ABAMECTIN,873.14,0.1,0.04,0.01153,0.075,0.084,C48H72O14
ACEPHATE,183.17,0.1,0.02,0.00368,0.087,0.065,C4H10NO3PS
ACEQUINOCYL,338.41,0.1,0.02,0.00417,0.058,0.064,C26H22ClN3O4
ACETAMIPRID,222.24,0.1,0.02,0.00464,0.067,0.068,C10H11ClN4
ALDICARB,206.27,0,0.04,0.01109,0,0,C11H18N2O2S
AZOXYSTROBIN,403.35,0.1,0.02,0.00639,0.091,0.063,C22H17N3O5
BIFENAZATE,300.36,0.1,0.02,0.00355,0.082,0.066,C17H20N2O2
BIFENTHRIN,422.87,3,0.04,0.00473,2.473,1.527,C23H22ClF3O2
BOSCALID,343.83,0.1,0.02,0.00494,0.073,0.161,C18H12Cl2N2O
CARBARYL,201.22,0.5,0.02,0.00295,0.297,0.468,C12H11NO2
CARBOFURAN,221.25,0,0.02,0.00613,0,0,C12H15NO3
CHLORANTRANILIPROLE,483.66,10,0.04,0.00697,7.152,5.033,C17H18Cl2N4O2
CLOFENTEZINE,303.71,0.1,0.02,0.0054,0.052,0.062,C14H8Cl2N4
COUMAPHOS,362.3,0,0.02,0.00215,0,0,C14H8Cl2N4
CYFLUTHRIN,434.84,2,0.2,0.05508,1.134,1.141,C22H18Cl2F2NO3
CYPERMETHRIN,416.3,1,0.04,0.00556,0.629,0.533,C22H19Cl2NO3
DAMINOZIDE,159.18,0,0.04,0.00227,0,0,C6H12N2O3
DIAZINON,304.38,0.1,0.02,0.00487,0.057,0.063,C12H21N2O3PS
DIMETHOATE,229.25,0,0.02,0.00354,0,0,C5H12NO3PS2
DIMETHOMORPH I,387.43,2,0.0078,0.00109,1.348,1.0058,C21H22ClNO4
DIMETHOMORPH II,387.43,2,0.0122,0.0015,1.237,1.0099,C21H22ClNO4
ETHOPROPHOS,242.32,0,0.02,0.0041,0,0,C7H16NO3PS2
ETOFENPROX,376.49,0,0.02,0.00274,0,0,C25H28F3NO3
ETOXAZOLE,359.84,0.1,0.02,0.00385,0.064,0.061,C23H26N2O2
FENHEXAMID,302.34,0.1,0.02,0.01055,0.052,0.067,C14H18Cl2N2O
FENOXYCARB,302.41,0,0.02,0.00175,0,0,C17H22NO3
FENPYROXIMATE,421.47,0.1,0.02,0.00481,0.086,0.064,C25H28N4O4
FIPRONIL,437.15,0,0.02,0.00478,0,0.01,C12H4Cl2F6N4OS
FLONICAMID,347.79,0.1,0.02,0.00398,0.093,0.103,C14H9ClF3N3O4S
FLUDIOXONIL,248.71,0.1,0.04,0.01369,0.077,0.081,C12H6F4N2O2
HEXYTHIAZOX,331.78,0.1,0.02,0.00297,0.071,0.064,C17H21N3OS
IMAZALIL,297.75,0,0.02,0.0056,0,0,C14H18Cl2N2
IMIDACLOPRID,255.66,5,0.02,0.00645,3.829,2.513,C9H10ClN5O2
KRESOXIMMETYL,313.29,0.1,0.02,0.00339,0.067,0.067,C18H19N3O4
MALATHION,330.36,0.5,0.02,0.00472,0.236,0.264,C10H19O6PS2
METALAXYL,279.29,2,0.02,0.00503,1.458,1.011,C15H21NO4
METHIOCARB,225.24,0,0.02,0.00503,0,0.018,C11H15NO3S
METHOMYL,162.21,1,0.02,0.00494,0.543,0.512,C5H10N2O2S
MEVINPHOS I,225.17,0,0.0084,0.00163,0,0,C7H11O2PS2
MEVINPHOS II,225.17,0,0.0316,0.00542,0,0,C7H11O2PS2
MYCLOBUTANIL,288.77,0.1,0.04,0.00867,0.054,0.283,C15H17ClN4O
NALED,380.36,0.1,0.02,0.00328,0.079,0.061,C8H7Br2ClNO2
OXAMYL,236.27,0.5,0.02,0.00455,0.416,0.265,C7H13N3O3S
PACLOBUTRAZOL,293.33,0,0.04,0.00714,0,0,C15H20ClN3O
PERMETHRIN CIS,391.29,0.5,0.0082,0.00237,0.363,0.2563,C21H20Cl2O3
PERMETHRIN TRANS,391.29,0.5,0.0118,0.00245,0.281,0.2592,C21H20Cl2O3
PIPERONYLBUTOXIDE,338.47,0.1,0.02,0.00247,0.049,0.063,C19H30O5
PHOSMET,318.34,0.1,0.02,0.0043,0.075,0.066,C12H15NO4PS2
PRALLETHRIN,300.38,0.1,0.02,0.00392,0.056,0.068,C19H24O3
PROPICONAZOLE,342.83,0.1,0.02,0.0024,0.087,0.062,C15H17Cl2N3O
PROPOXUR,209.23,0,0.02,0.00374,0,0,C11H15NO3
PYRETHRINS PYRETHRIN I,322.44,0.5,0.04,0.00726,0.397,0.283,C21H28O3
PYRETHRINS PYRETHRIN II,322.44,0.5,0.02284,0.00754,0.433,0.2692,C22H28O5
PYRIDABEN,364.76,0.1,0.02,0.0034,0.064,0.162,C19H18N4O2
SPINETORAM J,732.98,0.1,0.016,0.00329,0.068,0.063,C42H67NO10
SPINETORAM L,747,0.1,0.016,0.00157,0.089,0.064,C42H67NO10
SPINOSAD A,730.93,0.1,0.01438,0.00205,0.075,0.0596,C41H65NO10
SPINOSAD D,746.95,0.1,0.00498,0.00104,0.071,0.0524,C41H65NO10
SPIROMESIFEN,401.91,0.1,0.04,0.00944,0.056,0.085,C21H23F5N2O4
SPIROTETRAMAT,396.4,0.1,0.02,0.00208,0.069,0.069,C23H32N2O4
SPIROXAMINE,331.46,0,0.02,0.00344,0,0,C21H28N2O2
TEBUCONAZOLE,307.79,0.1,0.04,0.00816,0.094,0.082,C16H22ClN3O
THIACLOPRID,252.68,0,0.02,0.0039,0,0.015,C10H9ClN4S
THIAMETHOXAM,291.72,5,0.02,0.00358,4.512,2.514,C8H10ClN5O3S
TRIFLOXYSTROBIN,410.45,0.1,0.02,0.00421,0.055,0.065,C20H19F3N2O4
ARSENIC,74.92,0.2,0.05,0.001,0.191,0.248,As
CADMIUM,112.41,0.2,0.05,0.0002,0.123,0.142,Cd
LEAD,207.2,0.5,0.05,0.0003,0.387,0.287,Pb
MERCURY,200.59,0.1,0.01,0.0001,0.092,0.057,Hg
CAPTAN,300.78,0.7,0.09159,0.03024,0.592,0.4331,C9H8Cl3NO2S
CHLORDANE CIS,409.81,0,0.03243,0.01069,0,0,C10H6Cl8
CHLORDANE TRANS,409.81,0,0.03093,0.01023,0,0,C10H6Cl8
CHLORFENAPYR,437.15,0,0.0698,0.02305,0,0,C15H11BrClF3N2O